"pop2024","city","state","usps","densityMi","growth","areaMi"
"110803","Pueblo","Colorado","CO","1961","-0.00247","56.489"
"110801","Sparks","Nevada","NV","3036","0.00433","36.493"
"110463","Miami Gardens","Florida","FL","5979","-0.00229","18.476"
"110055","Santa Maria","California","CA","4825","0.00062","22.81"
"109803","Spokane Valley","Washington","WA","2911","0.01449","37.72"
"109665","Peoria","Illinois","IL","2279","-0.0072","48.125"
"109423","Gresham","Oregon","OR","4653","-0.0114","23.519"
"108537","San Buenaventura (Ventura)","California","CA","4962","-0.00478","21.873"
"108388","Davie","Florida","FL","3106","0.00546","34.894"
"107976","Jurupa Valley","California","CA","2515","0.0061","42.94"
"107976","Hillsboro","Oregon","OR","4178","0.00228","25.843"
"107764","Columbia","Maryland","MD","3375","0.00543","31.934"
"107745","Sugar Land","Texas","TX","2662","-0.0071","40.468"
"107703","Riverview","Florida","FL","2332","0.02491","46.181"
"107495","Edinburg","Texas","TX","2404","0.01603","44.723"
"107424","St. George","Utah","UT","1392","0.02721","77.148"
"107211","Costa Mesa","California","CA","6783","-0.01055","15.806"
"107100","Downey","California","CA","8631","-0.01577","12.409"
"106445","Centennial","Colorado","CO","3530","-0.0041","30.156"
"106237","Palm Coast","Florida","FL","1111","0.04039","95.665"
"106184","Bend","Oregon","OR","3051","0.01556","34.801"
"105631","Fishers","Indiana","IN","2930","0.01477","36.052"
"105499","Georgetown","Texas","TX","1814","0.09539","58.146"
"105235","Green Bay","Wisconsin","WI","2314","-0.00481","45.479"
"105156","Boulder","Colorado","CO","3910","-0.00701","26.894"
"105038","Lee's Summit","Missouri","MO","1644","0.0082","63.894"
"105001","Sandy Springs","Georgia","GA","2788","-0.00749","37.663"
"104683","Brockton","Massachusetts","MA","4907","-0.00197","21.333"
"104541","Dearborn","Michigan","MI","4312","-0.012","24.247"
"104521","San Tan Valley","Arizona","AZ","1379","0.01611","75.793"
"104438","West Covina","California","CA","6513","-0.01116","16.036"
"103979","Fayetteville","Arkansas","AR","1899","0.02261","54.755"
"103748","Renton","Washington","WA","4407","-0.00711","23.54"
"103415","South Bend","Indiana","IN","2468","0.00019","41.895"
"103162","Rialto","California","CA","4282","-0.00221","24.092"
"103093","Carmel","Indiana","IN","2100","0.00779","49.086"
"102761","Wichita Falls","Texas","TX","1423","0.00068","72.233"
"102670","Vacaville","California","CA","3437","0.0014","29.87"
"102628","Suffolk","Virginia","VA","257","0.01956","399.167"
"102314","Highlands Ranch","Colorado","CO","4216","0.00392","24.268"
"102076","Albany","New York","NY","4769","0.00838","21.404"
"102029","El Monte","California","CA","10676","-0.017","9.557"
"101964","Yuma","Arizona","AZ","842","0.01097","121.039"
"101963","El Cajon","California","CA","7027","-0.00998","14.51"
"101635","Quincy","Massachusetts","MA","6133","0.00037","16.573"
"101355","Inglewood","California","CA","11178","-0.01468","9.067"
"101338","Burbank","California","CA","5852","-0.01379","17.316"
"101287","Lynn","Massachusetts","MA","9432","0.00045","10.739"
"100849","Hesperia","California","CA","1388","0.00215","72.681"
"100816","Chico","California","CA","2920","-0.00479","34.521"
"100736","Fort Myers","Florida","FL","2518","0.03455","39.999"
"100595","New Bedford","Massachusetts","MA","5029","-0.00099","20.001"
"100550","Boca Raton","Florida","FL","3446","0.00576","29.178"
"100304","Deltona","Florida","FL","2687","0.01585","37.324"
